Year,January_p,February_p,March_p,April_p,May_p,June_p,July_p,August_p,September_p,October_p,November_p,December_p,Total_p
1978.000,1.210,4.680,2.000,0.880,0.020,0.000,0.000,0.000,0.740,0.000,0.210,0.570,10.310
1979.000,1.800,1.410,1.970,0.002,0.002,0.000,0.000,0.000,0.350,0.280,0.160,0.220,6.190
1980.000,2.600,1.040,1.320,0.660,0.210,0.000,0.000,0.000,0.000,0.030,0.002,0.150,6.010
1981.000,0.930,0.780,2.150,0.560,0.180,0.000,0.000,0.000,0.000,0.830,0.410,0.230,6.070
1982.000,0.530,0.600,2.130,1.070,0.000,0.420,0.000,0.002,0.700,0.710,1.300,0.330,7.790
1983.000,2.210,1.490,2.620,0.570,0.010,0.000,0.000,1.180,0.180,0.140,1.310,1.150,10.860
1984.000,0.050,0.050,0.690,0.500,0.000,0.010,0.002,0.010,0.020,0.130,1.010,0.950,3.420
1985.000,0.380,0.480,0.480,0.002,0.140,0.440,0.002,0.000,0.240,0.180,1.650,0.270,4.260
1986.000,1.120,0.800,1.950,0.240,0.020,0.000,0.002,0.002,0.030,0.002,0.560,0.970,5.690
1987.000,1.610,0.890,1.070,0.100,0.040,0.310,0.000,0.070,0.010,0.180,1.400,0.830,6.510
1988.000,0.810,0.370,0.410,1.310,0.120,0.040,0.002,0.000,0.000,0.000,0.640,0.820,4.520
1989.000,0.160,0.810,0.860,0.002,0.450,0.000,0.000,0.002,0.490,0.040,0.070,0.000,2.880
1990.000,0.850,0.930,0.450,0.180,0.290,0.000,0.000,0.002,0.050,0.030,0.470,0.260,3.510
1991.000,0.620,0.130,4.330,0.060,0.002,0.000,0.000,0.002,0.010,0.300,0.010,1.040,6.500
1992.000,1.560,2.140,1.860,0.002,0.080,0.000,0.030,0.000,0.000,0.920,0.000,1.810,8.400
1993.000,2.330,2.020,1.760,0.002,0.000,0.480,0.002,0.002,0.000,0.170,0.790,0.620,8.170
1994.000,0.570,1.340,0.970,1.060,0.270,0.000,0.002,0.010,0.090,0.080,0.980,1.320,6.690
